person ID,chinese name,hanyupinyin_ corrected,year of birth,year of death,出生地 (1st column is self-designated without referencing sources),,,birth - province,birth - level2,birth - level 3,birth - level 4,birth - level 5
C00001,蔡成金,cai cheng jin ,1911,2007,新加坡,,,,,,,
C00002,陈金锭,chen jin ding ,1832,1882,马来西亚 ,马六甲,,,,,,
C00003,陈美仪,chen mei yi ,1913,1995,新加坡,,,,,,,
C00004,陈庆直,chen qing zhi ,1882,1939,新加坡,,,,,,,
C00005,陈秋娘,chen qiu niang ,1898,1986,新加坡,,,,,,,
C00006,陈威廉,chen wei lian ,1928,2009,新加坡,,,,,,,
C00007,陈祯禄,chen zhen lu ,1883,1960,马来西亚 ,马六甲,,,,,,
C00008,陈振传,chen zhen chuan ,1908,2005,新加坡,,,,,,,
C00009,杜进才,du jin cai ,1921,2012,马来西亚 ,霹雳,,,,,,
C00010,许黄仙妹,xu huang xian mei ,1917,2013,马来西亚 ,康情,,,,,,
C00011,许云德,xu yun de ,1878,1956,新加坡,,,,,,,
C00012,柯守智,ke shou zhi ,1888,1977,印尼 ,爪哇岛,三宝垄,,,,,
C00013,柯玉芝,ke yu zhi ,1920,2010,新加坡,,, ,,,,
C00014,李光耀,li guang yao ,1923,2015,新加坡,,,广东省 , 梅州市 , 大埔县 , 高陂镇 ,党溪乡
C00015,林金山,lin jin shan ,1916,2006,新加坡,,, ,,,,
C00016,刘溪松,liu xi song ,1889,1982,新加坡,,,,,,,
C00017,冯德润,feng de run ,1844,1928,马来西亚 ,马六甲,,,,,,
C00018,吴福庆,wu fu qing ,1888,1961,新加坡,,,,,,,
C00019,吴庆瑞,wu qing rui ,1918,2010,马来西亚 ,马六甲,,福建省 ,漳州,,,
C00020,萧友仁,xiao you ren ,1920,1993,新加坡,,, ,,,,
C00021,林树彦,lin shu yan ,1912,1993,,,,福建省 , 安溪县 , 官桥镇 ,赤岭村,
C00022,连瀛洲,lian ying zhou ,1906,2004,,,,广东省 ,潮阳县,潮南区, 司马浦镇 ,大布乡
C00023,余东璇,yu dong xuan ,1877,1941,马来西亚 ,槟榔屿,,广东省 ,佛山,,,
C00024,周星衢,zhou xing qu ,1905,1986,中国,上海,,浙江省 ,平湖县,,,
