NodeID 人物编号,Focused_or_Related 核心人物/相关人物,Chinese_Name 汉字人物姓名,﻿person ID,chinese name,hanyupinyin_ corrected,year of birth,year of death,出生地 (1st column is self-designated without referencing sources),,,birth - province,birth - level2,birth - level 3,birth - level 4,birth - level 5
0,Focused,李大傻,C00594,李大傻,li da sha,1913,1989,新加坡 ,,,广东,东莞,,,
1,Related,孙中山
2,Related,蔡志民,C00259,蔡志民,cai zhi min,1900,1980,,,,广东,丰顺,,,
3,Related,伍伯胜,C00909,伍伯胜,wu bo sheng,,,,,,广东,台山,,,
4,Focused,伍连德,C00191,伍连德,wu lian de,1879,1960,马来西亚 ,槟榔屿  ,,广东,台山,,,
5,Related,陈梦桃,C00318,陈梦桃,chen meng tao,,,,,,广东,嘉应,,,
6,Related,徐统雄,C00200,徐统雄,xu tong xiong,约1876,1937,,,,广东,大埔,,,
7,Related,陈瑞麟,C00335,陈瑞麟,chen rui ling,1892,1962,,,,广东,梅县,,,
8,Focused,杨缵文,C00208,杨缵文,yang zuan wen,1881,1967,,,,广东,潮安,,,
9,Related,林忠国,C00719,林忠国,lin zhong guo,1902,1938,,,,广东,澄海,,,
10,Focused,林义顺,C01445,林义顺,lin yi shun ,,,,,,广东,澄海,,,
11,Related,陈烈三,C00312,陈烈三,chen lie san,? ,1957,,,,广东,琼州,,,
12,Related,符和谦,C00409,符和谦,fu he qian,1900,1942,,,,广东,琼州（海南),,,
13,Related,林耀翔
14,Focused,张永福,C01128,张永福,zhang yong fu,1871,1957,,,,广东,饶平,,,
15,Related,胡愈之,C00484,胡愈之,hu yu zhi,1896,1986,,,,浙江,上虞,,,
16,Related,池传楹,C00391,池传楹,chi chuan ying,1900,1976,,,,浙江,平阳,,,
17,Related,陈岳书,C00373,陈岳书,chen yue shui,1900,1971,中国,,,浙江,苍南,,,
18,Related,涂开舆,C00866,涂开舆,tu kai yu,,,,,,湖南,,,,
19,Related,马徽祥
20,Focused,李光前,C00132,李光前,li guang qian,1893,1967,,,,福建,南安,,,
21,Related,李玉荣,C00632,李玉荣,li yu rong,1897,1965,,,,福建,福安,,,
22,Related,李成义
23,Related,李成伟
24,Related,刘牡丹,C00739,刘牡丹,liu mu dan,1902,1983,,,,福建,南安,,,
25,Focused,周献瑞,C00224,周献瑞,zhou xian rui,1887,1964,中国,厦门,,福建,南安,,,
26,Focused,黄奕欢,C00540,黄奕欢,huang yi huan,1908,1985,中国,,,福建,南安,,,
27,Related,高云览,C00423,高云览,gao yun lan,1910,1956,中国,厦门,,福建,厦门,,,
28,Focused,何葆仁,C00105,何葆仁,he bao ren,1895,1978,,,,福建,厦门,,,
29,Related,陈森茂,C00078,陈森茂,chen sen mao,1902,1941,,,,福建,厦门,,,
30,Related,王锦良,C00182,王锦良,wang jin liang,——,,,,,福建,同安,,,
31,Related,叶清沙,C00209,叶清沙,ye qing sha,——,,中国,,,福建,同安,,,
32,Focused,陈嘉庚,C00068,陈嘉庚,chen jia geng,1874,1961,中国,集美,,福建,同安,,,
