NodeID 人物编号,Focused_or_Related 核心人物/相关人物,Chinese_Name 汉字人物姓名,English_Name 英语人物姓名,VIAF,YOB 出生年份,YOD 逝世年份,Dialect_Group 方言群,Hometown_in_Details 细致祖籍地,Search_by_Place_of_Birth 出生地检索,NLB_Link NLB链接
0,Focused,李大傻,Lee Dai Soh,http://viaf.org/viaf/995152502916810800006,1913,1989,粤/Canton,"广东省东莞县/Dongguan County, Guangdong Province",新加坡/Singapore,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Q5Qds91-jkY&label=Lee,%20Dai%20Soh"
1,Related,孙中山,Sun Yat-sen,,1866,1925,粤/Canton,"广东省东莞县/Dongguan County, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
2,Related,蔡志民,Nil,,Nil,Nil,潮/Teochew,"广东省丰顺县/Fengshun County, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
3,Related,伍伯胜,Nil,,Nil,Nil,粤/Canton,"广东省台山县/Taishan County, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
4,Focused,伍连德,Wu Lien-Teh,,1879,1960,粤/Canton,"广东省台山县/Taishan County, Guangdong Province",槟榔屿/Penang Island,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/B2qupuNihiQ&label=Wu,%20Lien-the"
5,Related,陈梦桃,Nil,,Nil,1919,客/Hakka,"广东省嘉应州/Jiaying Prefecture, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
6,Related,徐统雄,Nil,,1876,1937,客/Hakka,"广东省大埔县/Dapu County, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
7,Related,陈瑞麟,Nil,,1892,1962,客/Hakka,"广东省梅县/Mei County, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
8,Focused,杨缵文,Yeo Chan Boon,,1881,1967,潮/Teochew,"广东省潮安县/Chao'an County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/b-xMhjjoBI4&label=Yeo,%20Chan%20Boon"
9,Related,林忠国,Nil,,1902,1938,潮/Teochew,"广东省澄海县/Chenghai County, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
10,Focused,林义顺,Lim Nee Soon,,1879,1936,潮/Teochew,"广东省澄海县/Chenghai County, Guangdong Province",新加坡/Singapore,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/1i9pktGnrno&label=Lim,%20Nee%20Soon"
11,Related,陈烈三,Nil,,Nil,Nil,琼/Hainan,"广东省琼州/Qiongzhou, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
12,Related,符和谦,Nil,,Nil,Nil,琼/Hainan,"广东省琼州/Qiongzhou, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
13,Related,林耀翔,Nil,,Nil,Nil,粤/Canton,"广东省番禺/Panyu, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
14,Focused,张永福,Teo Eng Hock,,1871,1957,潮/Teochew,"广东省饶平/Raoping, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/txI7QzP9nOo&label=Teo,%20Eng%20Hock"
15,Related,胡愈之,Nil,,Nil,Nil,三江/Sam Kiang,"浙江省上虞县/Shangyu County, Zhejiang Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
16,Related,池传楹,Nil,,Nil,Nil,三江/Sam Kiang,"浙江省平阳县/Pingyang County, Zhejiang Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
17,Related,陈岳书,Nil,,Nil,Nil,三江/Sam Kiang,"浙江省苍南县/Cangnan County, Zhejiang Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
18,Related,涂开舆,Nil,,Nil,Nil,三江/Sam Kiang,湖南/Hunan,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
19,Related,马徽祥,Nil,,Nil,Nil,闽/Hokkien,"福建省东山县/Dongshan County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
20,Focused,李光前,Lee Kong Chian,,1893,1967,闽/Hokkien,"福建省南安县/Nan'an County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/J-1o-8u7kOY&label=Lee,%20Kong%20Chian"
21,Related,李玉荣,Nil,,Nil,Nil,闽/Hokkien,"福建省南安县/Nan'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
22,Related,李成义,Nil,,Nil,Nil,闽/Hokkien,"福建省南安县/Nan'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
23,Related,李成伟,Nil,,Nil,Nil,闽/Hokkien,"福建省南安县/Nan'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
24,Related,刘牡丹,Nil,,Nil,Nil,闽/Hokkien,"福建省南安县/Nan'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
25,Focused,周献瑞,Chew Hian Swee,,1887,1964,闽/Hokkien,"福建省南安县/Nan'an County, Fujian Province",厦门/Xiamen,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/UI5zG3xB2pA&label=Chew,%20Hian%20Swee"
26,Focused,黄奕欢,Ng Aik Huan,,1908,1985,闽/Hokkien,"福建省南安县/Nan'an County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/V2aKr9w3K1w&label=Ng,%20Aik%20Huan"
27,Related,高云览,Nil,,Nil,Nil,闽/Hokkien,"福建省厦门市/Xiamen City, Fujian Province",厦门/Xiamen,http://shgis.nus.edu.sg/sbdb/unavailable.html
28,Focused,何葆仁,Ho Pao Jin,,1895,1978,闽/Hokkien,"福建省厦门市/Xiamen City, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/1XJWymygTBA&label=Ho,%20Pao%20Jin"
29,Related,陈森茂,Nil,,Nil,Nil,闽/Hokkien,"福建省厦门市/Xiamen City, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
30,Related,王锦良,Nil,,Nil,Nil,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
