objectid,noname,pinyin,simplified_chinese,tarditional_chinese,official_name,address,postal_code,new_address,x,y,long,lat,foundingdate,phone,maingods,origin,origindetail,foundinglocation,website,united,subtemples,photos
38,65.000000000000000,Chengbang Dabogong Gong,成邦大伯公宫,成邦大伯公宮,Seng Pang Tua Pek Kong Keng,475 Yishun Ring Road 768678,768678,475 YISHUN RING ROAD,27412.926127319999000,46167.372189700000000,103.828043159999990,1.433795800000000,,,大伯公,广东省,广东省 潮州市,,,1,"三巴旺成邦聯合廟

1. 三巴旺成邦聯合廟
2. 成邦大伯公
3. 何碧山宮
4. 南鳳善堂",0065
217,332.000000000000000,Hainanshan Tiangong Tan,海南山天公坛,海南山天公壇,Hai Lam Sua Tee Kong Toa Temple,175 Upper Thomson Road 574426,574426,175 UPPER THOMSON ROAD,28252.701528729998000,36949.475163529998000,103.835589260000010,1.350432450000000,1904,6258 5411 ,"玉皇上帝, 大伯公",海南省,海南省,,,0,NA,0332
286,436.000000000000000,Jiuxian Gong ,九仙宫 ,九仙宮 ,Jiuxian Gong ,7 Tampines Avenue 529786,529786,7 TAMPINES AVENUE,38497.292103950000000,38759.747183079999000,103.927643970000010,1.366802040000000,1938,"6299 6588 
6282 743*",九天玄女娘娘,福建省,福建省 安溪县,Tampines Road 7th milestone,,0,NA,0436
49,92.000000000000000,Chongyimiao Wanxinshan ,崇义庙  万兴山,崇義廟  萬興山,Chong Ghee Temple,"80 Rivervale Crescent, #01-01 545087",545087,80 RIVERVALE CRESCENT,36206.304723690002000,41229.585506349998000,103.907058570000000,1.389139080000000,1960,6429 4183,关帝圣君,福建省,福建省,Lorong Samak,http://www.chonggheetemple.com/,1,"盛港聯合廟

1. 盛港聯合廟
2. 天后宮（半港）
3. 崇義廟（萬興山）",0092
290,440.000000000000000,Jushan Tang,聚善堂,聚善堂,Ju Shan Tang   Chu Siang Tong,569 Yishun Ring Road 768691,768691,569 YISHUN RING ROAD,28042.010089449999000,46296.935989010002000,103.833696080000000,1.434967530000000,1958,6257 3761,关圣帝君,福建省,福建省,Bah Soon Pah,,1,"聚善华山宫

1. 聚善華山宮
2. 華山宮（華山芭）
3. 聚善堂",0440
293,443.000000000000000,Jueyin Jiangtang,觉音讲堂,覺音講堂,Jue Ying Buddhist Association,34 Boon Teck Road 329604,329604,34 BOON TECK ROAD,29892.912427750001000,34357.830725180000000,103.850327429999990,1.326994480000000,,6252 8885,,NA,NA,,,0,NA,0443
294,444.000000000000000,Kaifu Tang,开福堂,開福堂,Kaifu Tang,56 / 58 / 60 Hougang Avenue 3 538842,538842,58 HOUGANG AVENUE 3,34580.584894280000000,37875.874901019997000,103.892449480000000,1.358809750000000,1919,,王爷：朱孙邢林四府大人,福建省,福建省,Hougang 4th milestone,,1,"紫雲開吉宮 

1. 紫雲開吉宮 
2. 朝雲宮
3. 吉山廟
4. 開福堂",0444
295,445.000000000000000,Kaishan Miao ,开山庙,開山廟,Kai San Temple ,1300 Jalan Bukit Merah 169546,169546,1300 JALAN BUKIT MERAH,27414.416946590001000,29078.115891779998000,103.828056890000000,1.279246650000000,1904,,开山圣侯,福建省,福建省漳州市东山县坑北村,,,0,NA,0445
71,127.000000000000000,Dabayao Xiude Shantang,大芭窑修德善堂,大芭窯修德善堂,Toa Payoh Seu Teck Sean Tong,2 Lorong 6 Toa Payoh 319377,319377,2 LORONG 6 TOA PAYOH,30009.781380670000000,35625.192428419999000,103.851377650000000,1.338456040000000,1942,,宋大峰祖师,广东省,广东省 潮州市,Hup Choon Hng (Balestier),,0,NA,0127
302,458.000000000000000,Lide Chuanxin Tang ,立德传心堂,立德傳心堂,Li Teck Chuan Cin Tang temple ,8 Lorong 102 Changi 426603,426603,8 LORONG 102 CHANGI,35472.702810739996000,33133.540453579997000,103.900464590000000,1.315921580000000,,,,NA,NA,,,0,NA,0458
303,459.000000000000000,Lijiang Miao,鲤江庙,鯉江廟,Lijiang Miao,68 Sing Avenue 217915,217915,68 SING AVENUE,30348.085363419999000,33137.530379190001000,103.854417320000000,1.315958480000000,1971,6294 9614,城隍老爷,福建省,福建省 莆田市,,,0,NA,0459
304,462.000000000000000,Lianchige Si ,莲池阁寺,蓮池閣寺,Lian Chee Kek Temple ,36b Paya Lebar Crescent 536190,536190,36B PAYA LEBAR CRESCENT,33442.410940930000000,36812.028552149997000,103.882222050000000,1.349188940000000,,6288 5971 ,,NA,NA,,,0,NA,0462
81,138.000000000000000,Dajue Si ,大觉寺,大覺寺,Tai Kak Seah Temple ,86 Lorong K Telok Kurau 425720,425720,86 LORONG K TELOK KURAU,36823.480080570000000,32789.219589150001000,103.912601900000000,1.312807310000000,1950,"6344 3091
6447 2414 ",释迦牟尼佛,福建,福建,,,0,NA,0138
84,142.000000000000000,Dashibogong Gong,大士伯公宫,大士伯公宮,Tuas Pek Kong Keng,118 Boon Lay Drive 649923,649923,118 BOON LAY DRIVE,14642.598134899999000,36341.917276859996000,103.713294240000000,1.344934940000000,1944, 6268 4858,大伯公,众多方言,众多方言,Upper Jurong 18 miles ,http://www.tuaspekkong.com/_x000D_,0,NA,0142
307,468.000000000000000,Lianhua Tan,莲花坛,蓮花壇,Lian Huay Temple,99 Sin Ming Industrial Estate Sector B  575660, 575660,99 SECTOR B SIN MING INDUSTRIAL ESTATE,28783.259057140000000,37773.980306619997000,103.840356680000000,1.357888970000000,,,哪吒,NA,NA,Thomson 6th milestone,,1,"湯申廟（聯合廟）

1. 湯申廟（聯合廟）
2. 華光大帝廟
3. 蓮花壇
4. 金榜山亭天后會",0468
308,469.000000000000000,Lianshan Shuanglin Si ,莲山双林寺,蓮山雙林寺,Lianshan Shuanglin Si ,184E Jalan Toa Payoh 319941,319941,184E JALAN TOA PAYOH,30668.081514080000000,34718.038679179997000,103.857292779999990,1.330252010000000,,,释迦牟尼佛,NA,NA,,,0,NA,0469
89,148.000000000000000,Danbinni Lianhe Gong,淡滨尼联合宫,淡濱尼聯合宮,Tampines Chinese Temple  United Temple,25 Tampines Street 21 529394,529394,25 TAMPINES STREET 21,40970.458997380003000,37545.692151249998000,103.949866529999990,1.355821600000000,,,朱邢李大人,NA,NA,,,1,"淡濱尼聯合宮

1. 淡濱尼聯合宮
2. 地萬大伯公
3. 福安殿
4. 慈靈宮
5. 九哩大伯公 aka 九哩福德正神
6. 濟陽堂
7. 吉星亭
8. 洛陽天宮壇
9 後池廳aka普庵古佛
10. 順興古廟
11. 新芭大伯公
12. 洛陽大伯公
13. 漢陽大伯公",0148
315,484.000000000000000,Linshan Ting,麟山亭北极宫,麟山亭北極宮,Leng San Teng Temple   Bei Ji Gong,1 Leng Kee Road 159085,159085,1 LENG KEE ROAD,25977.975925399998000,30274.073877760002000,103.815149850000000,1.290062420000000,1879,,玄天上帝,福建省,福建省,cemetery hill known as Bukit Leng Kee,,0,NA,0484
