objectid,noname,pinyin,simplified_chinese,tarditional_chinese,official_name,address,postal_code,new_address,x,y,long,lat,foundingdate,phone,maingods,origin,origindetail,foundinglocation,website,united,subtemples,photos
38,65,Chengbang Dabogong Gong,成邦大伯公宫,成邦大伯公宮,Seng Pang Tua Pek Kong Keng,475 Yishun Ring Road 768678,768678,475 YISHUN RING ROAD,27412.92613,46167.37219,103.8280432,1.4337958,,,大伯公,广东省,广东省 潮州市,,,1,"三巴旺成邦聯合廟

1. 三巴旺成邦聯合廟
2. 成邦大伯公
3. 何碧山宮
4. 南鳳善堂",65
217,332,Hainanshan Tiangong Tan,海南山天公坛,海南山天公壇,Hai Lam Sua Tee Kong Toa Temple,175 Upper Thomson Road 574426,574426,175 UPPER THOMSON ROAD,28252.70153,36949.47516,103.8355893,1.35043245,1904,6258 5411 ,"玉皇上帝, 大伯公",海南省,海南省,,,0,NA,332
286,436,Jiuxian Gong ,九仙宫 ,九仙宮 ,Jiuxian Gong ,7 Tampines Avenue 529786,529786,7 TAMPINES AVENUE,38497.2921,38759.74718,103.927644,1.36680204,1938,"6299 6588 
6282 743*",九天玄女娘娘,福建省,福建省 安溪县,Tampines Road 7th milestone,,0,NA,436
49,92,Chongyimiao Wanxinshan ,崇义庙  万兴山,崇義廟  萬興山,Chong Ghee Temple,"80 Rivervale Crescent, #01-01 545087",545087,80 RIVERVALE CRESCENT,36206.30472,41229.58551,103.9070586,1.38913908,1960,6429 4183,关帝圣君,福建省,福建省,Lorong Samak,http://www.chonggheetemple.com/,1,"盛港聯合廟

1. 盛港聯合廟
2. 天后宮（半港）
3. 崇義廟（萬興山）",92
290,440,Jushan Tang,聚善堂,聚善堂,Ju Shan Tang   Chu Siang Tong,569 Yishun Ring Road 768691,768691,569 YISHUN RING ROAD,28042.01009,46296.93599,103.8336961,1.43496753,1958,6257 3761,关圣帝君,福建省,福建省,Bah Soon Pah,,1,"聚善华山宫

1. 聚善華山宮
2. 華山宮（華山芭）
3. 聚善堂",440
293,443,Jueyin Jiangtang,觉音讲堂,覺音講堂,Jue Ying Buddhist Association,34 Boon Teck Road 329604,329604,34 BOON TECK ROAD,29892.91243,34357.83073,103.8503274,1.32699448,,6252 8885,,NA,NA,,,0,NA,443
294,444,Kaifu Tang,开福堂,開福堂,Kaifu Tang,56 / 58 / 60 Hougang Avenue 3 538842,538842,58 HOUGANG AVENUE 3,34580.58489,37875.8749,103.8924495,1.35880975,1919,,王爷：朱孙邢林四府大人,福建省,福建省,Hougang 4th milestone,,1,"紫雲開吉宮 

1. 紫雲開吉宮 
2. 朝雲宮
3. 吉山廟
4. 開福堂",444
295,445,Kaishan Miao ,开山庙,開山廟,Kai San Temple ,1300 Jalan Bukit Merah 169546,169546,1300 JALAN BUKIT MERAH,27414.41695,29078.11589,103.8280569,1.27924665,1904,,开山圣侯,福建省,福建省漳州市东山县坑北村,,,0,NA,445
71,127,Dabayao Xiude Shantang,大芭窑修德善堂,大芭窯修德善堂,Toa Payoh Seu Teck Sean Tong,2 Lorong 6 Toa Payoh 319377,319377,2 LORONG 6 TOA PAYOH,30009.78138,35625.19243,103.8513777,1.33845604,1942,,宋大峰祖师,广东省,广东省 潮州市,Hup Choon Hng (Balestier),,0,NA,127
302,458,Lide Chuanxin Tang ,立德传心堂,立德傳心堂,Li Teck Chuan Cin Tang temple ,8 Lorong 102 Changi 426603,426603,8 LORONG 102 CHANGI,35472.70281,33133.54045,103.9004646,1.31592158,,,,NA,NA,,,0,NA,458
303,459,Lijiang Miao,鲤江庙,鯉江廟,Lijiang Miao,68 Sing Avenue 217915,217915,68 SING AVENUE,30348.08536,33137.53038,103.8544173,1.31595848,1971,6294 9614,城隍老爷,福建省,福建省 莆田市,,,0,NA,459
304,462,Lianchige Si ,莲池阁寺,蓮池閣寺,Lian Chee Kek Temple ,36b Paya Lebar Crescent 536190,536190,36B PAYA LEBAR CRESCENT,33442.41094,36812.02855,103.8822221,1.34918894,,6288 5971 ,,NA,NA,,,0,NA,462
81,138,Dajue Si ,大觉寺,大覺寺,Tai Kak Seah Temple ,86 Lorong K Telok Kurau 425720,425720,86 LORONG K TELOK KURAU,36823.48008,32789.21959,103.9126019,1.31280731,1950,"6344 3091
6447 2414 ",释迦牟尼佛,福建,福建,,,0,NA,138
84,142,Dashibogong Gong,大士伯公宫,大士伯公宮,Tuas Pek Kong Keng,118 Boon Lay Drive 649923,649923,118 BOON LAY DRIVE,14642.59813,36341.91728,103.7132942,1.34493494,1944, 6268 4858,大伯公,众多方言,众多方言,Upper Jurong 18 miles ,http://www.tuaspekkong.com/_x000D_,0,NA,142
307,468,Lianhua Tan,莲花坛,蓮花壇,Lian Huay Temple,99 Sin Ming Industrial Estate Sector B  575660,575660,99 SECTOR B SIN MING INDUSTRIAL ESTATE,28783.25906,37773.98031,103.8403567,1.35788897,,,哪吒,NA,NA,Thomson 6th milestone,,1,"湯申廟（聯合廟）

1. 湯申廟（聯合廟）
2. 華光大帝廟
3. 蓮花壇
4. 金榜山亭天后會",468
308,469,Lianshan Shuanglin Si ,莲山双林寺,蓮山雙林寺,Lianshan Shuanglin Si ,184E Jalan Toa Payoh 319941,319941,184E JALAN TOA PAYOH,30668.08151,34718.03868,103.8572928,1.33025201,,,释迦牟尼佛,NA,NA,,,0,NA,469
89,148,Danbinni Lianhe Gong,淡滨尼联合宫,淡濱尼聯合宮,Tampines Chinese Temple  United Temple,25 Tampines Street 21 529394,529394,25 TAMPINES STREET 21,40970.459,37545.69215,103.9498665,1.3558216,,,朱邢李大人,NA,NA,,,1,"淡濱尼聯合宮

1. 淡濱尼聯合宮
2. 地萬大伯公
3. 福安殿
4. 慈靈宮
5. 九哩大伯公 aka 九哩福德正神
6. 濟陽堂
7. 吉星亭
8. 洛陽天宮壇
9 後池廳aka普庵古佛
10. 順興古廟
11. 新芭大伯公
12. 洛陽大伯公
13. 漢陽大伯公",148
315,484,Linshan Ting,麟山亭北极宫,麟山亭北極宮,Leng San Teng Temple   Bei Ji Gong,1 Leng Kee Road 159085,159085,1 LENG KEE ROAD,25977.97593,30274.07388,103.8151499,1.29006242,1879,,玄天上帝,福建省,福建省,cemetery hill known as Bukit Leng Kee,,0,NA,484
104,171,Dongtian Gong ,东天宫,東天宮,Tong Tien Kung Temple ,8 Bukit Batok Street 21 659631,659631,8 BUKIT BATOK STREET 21,18834.17178,36492.36296,103.750958,1.34629709,,6567 4673,太阳公,众多方言,众多方言,Bukit Timah 9th milestone,,1,"武吉巴督聯合宮

1. 武吉巴督聯合宮
2. 五雷宮
3. 東天宮",171
106,175,Doumu Gong  Caicuo Gang,斗母宫  蔡厝港,斗母宮  蔡厝港,Choa Chu Kang Dou Mu Gong,2 Teck Whye Lane  688799,688799,2 TECK WHYE LANE,19131.68787,40335.52523,103.7536302,1.38105333,1920,6762 1458,九皇大帝,福建省,福建省 安溪县 , Sungei Tenga,,1,"蔡厝港聯聖宮

1. 蔡厝港聯聖宮
2. 斗母宮（蔡厝港）
3. 三中宮
4. 水溝館聖德壇
5. 天雲殿
6. 九龍宮",175
110,180,Duchenghuang Miao,都城隍庙,都城隍廟,Seng Wong Beo Temple,113 Peck Seah Street 079332,79332,113 PECK SEAH STREET,29274.27331,28679.89892,103.8447684,1.2756453,1905,,都城隍爷,福建省,福建省 泉州市 、漳州市,,,0,NA,180
114,187,Falun She,法轮社 ,法輪社,Dharna Cakra Society,38 Jalan Eunos 419500,419500,38 JALAN EUNOS,36028.3841,33652.56824,103.9054578,1.32061534,,6841 3171 ,释迦牟尼佛,福建省,福建省,,,0,NA,187
119,197,Feilong Gong ,飞龙宫,飛龍宮,Feilong Gong ,15 Woodlands Industrial Park E4 757749,757749,15 WOODLANDS INDUSTRIAL PARK E4,23786.24183,48102.86113,103.7954537,1.45129934,1959,6368 4889,哪吒,广东省,广东省 潮州市,Lorong Malai (Bukit Panjang). ,,1,"風山壇飛龍宮聯合廟

1. 風山壇飛龍宮聯合廟
2. 飛龍宮（蓮花三太子）
3. 鳳山壇（德惠）",197
