original_name,converted_name
1824年_海唇福德祠_119張,215
1824年_粵海清廟_465張,702
1830年_金蘭廟_84張,266
1840年_天福宮_393張,541
1844年_望海大伯公廟_181張,588
1847年_梧槽大伯公廟_73張,594
1851年_順興古廟_22張,525
1860年_麟山亭北極宮 _159張,315
1868年_仙祖宮_126張,627
1868年_鳳山寺_285張,127
1869年_烏敏島佛山亭大伯公廟_181張,606
1870年_伍合廟通兴港_117張,600
1876年_瓊州天后宮_244張,450
1876年_金門會館浮濟廟_87張,268
1876年_雙龍山嘉應五屬義祠_92張,503
1878年_保赤宮陳氏祠堂_581張,12
1880年_廣福古廟_9張,207
1880年_萬壽山堃成堂_96張,585
1880年_萬壽山觀音堂_98張,584
1886年_四馬路觀音堂_16張,202
1887年_玉皇殿_110張,690
1892年_萬山福德祠_97張,583
1894年_同善堂_88張,575
1899年_协源山_10張,630
1902年_蓮山雙林寺_1731張,308
1902年_雙林城隍廟_274張,502
1902年_雲山宮_204張,705
1902年_順天宮_78張（問題,521
1904年_開山廟_104張,295
1905年_都城隍廟_27張,110
1909年_龜嶼福山宮大伯公 _128張,76
1918_1992年_吉星亭_淡賓尼聯合廟_12張,252
1919年_如切觀音堂_35張,199
1921年_斗母宮_後港_126張,228
1921年_福山亭_菜市聯合宮_12張,164
1921年_龍山宮_28張,343
1923年_天公廟_75張,542
1925年_韓氏祠_34張,221
1927年_準提宮_15張,746
1927年_龍山寺_32張,345
1928年_九仙宮_玄女妈宮_288張,286
1928年_九龍堂林氏大宗祠_11張,316
1928年_鳳山宮_113張,123
1928年_龍鬚岩金水館_20張,356
1930年_觀音山_69張,196
1930年_飛霞精舍_3張,120
1932年_協天宮_15張,629
1934年_華山宮_聚善華山宮_聯合宮_25張,289
1935年_圓福殿_40張,698
1935年_福海禅寺_16張,158
1935年_鳳山寺_樟宜_60張,127_1
1936年_光明山普覺寺_82張,211
1938年_大悲院_8張,73
1938年_武吉知馬大伯公宮_19張,79
1939年_海印古寺_72張,753
1942年_法華寺_5張,113
1943年_九鯉洞_莆田_367張,281
1943年_福安廟_玉皇殿聯合宮_6張,149
1945年_福安殿_18張,148
1947年_太陽宮_36張,531
1947年_雲仙宮_51張,707
1948年_旃檀林_5張,710
1948年_濟陽堂_1張,253
1949年_南安善堂_54張,374
1949年_靈晉堂_裕廊總宮_34張,697
1949年_齊天壇_14張,429
1950年 陳佐勉佛堂_兩所_7張,37
1950年_大覺寺_3張,81
1950年_祝福寺_24張,741
1950年_蓮池閣寺_5張,304
1950年_香蓮寺_3張,628
1951年_青雲廟_莆田_青雲聯合廟_26張,446
1951年_龍鳳洞及雲南大伯公廟_33張,331
1952年_斯里蘭卡佛寺_134張,529
1954年_南海寺_13張,383
1954年_妙音覺苑_2張,366
1954年_瓊瑤教邸_裕廊總宮_64張,448
1955年_蓬莱寺_聯合廟_59張,400
1955年_馬里士他路觀音堂_30張,201
1956年_真空教復本堂_74張,716
1957年_普忠廟_50張,422
1957年_普陀寺_91張,416
1957年_謙福律天公壇_天龍宮_聯合宮_22張,555
1958年_大芭窑修德善德_136張,71
1958年_龍德佛院_6張,330
1959年_安濟聖王廟_60張,5
1959年_寶光佛堂_26張,15
1959年_東岳廟_78張,105
1960年 知歸佛堂_4張,726
1960年 聚善堂_聚善华山宫_聯合宮_14張,289_1
1960年_毘盧寺_27張,567
1960年_法輪社_3張,114
1960年_清德堂_3張,441
1960年_真空教天靈總道堂_19張,554
1960年_萬佛林_4張,578
1963年_巴禮萊佛教寺_4張,7
1965年_圓明寺_9張,700
1969年_觀善堂_11張,186
1970年_菩提閣_18張,413
1970年_赐福宫_18張,56
1970年_釋迦寺_32張,493
1970年_雲仙宮_福州_10張,707_1
1971年_爱道小苑_3張,3
1971年_立德傳心堂_83張,302
1971年_鯉江廟_莆田_14張,303
1972年_崇福堂_莆田_16張,46
1974年_慈忠廟_36張,69
1975年_福泉寺_福泉寺與水美宫大伯公_聯合宮_8張,162
1975年_萬天主帥廟_87張,546
1975年_西天佛祖廟_32張,619
1976年_玄山廟救世壇_72張,660
1977年_ 南天門通淮廟_80張,571
1978年_介穀廟_真龍宮_13張,717
1978年_仙宮堂_莆田_177張,623
1978年_濟芳閣_37張,242
1978年_萬仙廟_真龍宮_32張,586
1979年_七星山_15張,430
1979年_飛龍宮_53張,119
1980年_三寶佛光寺_17張,464
1980年_普照禅_2張,419
1980年_洛陽大伯公宮_135張,360
1980年_裕廊總宮_ 2張,697_1
1980年_鬥天宮_77張，44份影片，1音頻,108
1982年_五雷_東天宫_五雷宮_18張,604
1982年_同德善堂念心社_69張,570
1982年_東天宫_東天宫_五雷宮_19張,604_1
1984年_ 南鳳善堂_三巴旺成邦聯合廟_43張,378
1984年_大士伯公宮_27張,84
1984年_慈義堂將軍廟_聯合廟_35張,65
1984年_玄夫仙廟_龍山廟_七寨廟_順興古廟_聯合廟_53張,656
1984年_金榜山亭天后宮_湯申廟_聯合廟_94張,547
1984年_關帝廟_蔡厝港聯合殿_42張,178
1985年_報德善堂_天德聖廟_聯合廟_11張,13
1985年_天德聖廟_聯合廟_鐘頭宮_長天宮_後港水尾聖娘廟_報德善堂_3張,735
1985年_後港水尾聖娘廟_天德聖廟_聯合廟_22張,513
1985年_武吉知馬修德善堂_30張,654
1985年_湯申廟_聯合廟_蓮花壇_金榜山亭天後宮_華光大帝_1張,307
1985年_華光大帝_湯申廟_聯合廟_3張,231
1985年_蓮花壇_湯申廟_聯合廟_58張,307_1
1985年_鎮山天福宮_石竹廟_龍鎮宮_安山廟_萬福宮_吉龍山廟_聯合廟_37張,721
1985年_鐘頭宮_天德聖廟_聯合廟_26張,735_1
1985年_長天宮_天德聖廟_聯合廟_20張,32
1986年_七寨龍泉廟_七寨廟_龍泉廟_聯合廟_58張,434
1987年_聚善堂關帝廟_聚善華山宮_聯合宮_16張,289_1
1987年_雷音寺西天娘娘_12張,301
1987年_韭菜芭城隍廟_62張,278
1987年_鳳圖廟_鳳圖廟_環圖廟_保安廟_花果山平安明德宮_聯合廟_27張,133
1988年 義順鎮聯合廟_元聖龍廟_鎮南廟廣壽堂_順西宮水池林_2張,719
1988年 順西宮水池林_義順鎮聯合廟_25張,504
1988年_九皇宮_15張,70
1988年_元龍聖殿_義順鎮聯合廟_41張,699
1988年_楊桃園城隍廟_51張,670
1988年_眾弘善堂_25張,731
1988年_緬甸玉佛寺_95張,364
1988年_鎮南廟廣壽堂_義順鎮聯合廟_39張,719_1
1988年_順山亭榕樹大伯公宮_44張,520
1989年_大聖宮_35張,83
1989年_天龍宮_謙福律天公壇_金福宮崙仔尾_阜龍宮_聯合宮_5張,555_1
1989年_金福宮崙仔尾_天龍宮_聯合宮_17張,555_2
1989年_阜龍宮_天龍宮_聯合宮_17張,555_3
1991年_紫盈閣_8張,95
1992年_吉星亭_淡賓尼聯合宮_13張,252_1
1992年_天降佛堂_德光島神廟聯合宮_38張,549
1992年_後池廳_淡賓尼聯合宮_8張,227
1992年_慈靈宮_淡賓尼聯合宮_14張,61
1992年_東山廟_長秀威靈東山聯合廟_86張,103
1992年_桂林聯合廟_石竹廟_臨江殿暨對山廟_龍顯山宮_集聲宮_金泉法壇_愛民宮_28張,214
1992年_淡賓尼聯合宮_天公壇_福安殿_順興古廟光緒九年_後池廳_太歲壇_大伯公_吉星亭_濟陽堂_慈靈宮_五軍將_72張,552
1992年_濟陽堂_淡賓尼聯合宮_7張,253_1
1992年_福靈宮_菜市聯合宮_8張,161
1993年_三安府_六巡三合廟_聯合廟_35張,329
1993年_中峇魯齊天宮_19張,428
1993年_六巡三合廟_鳳山堂進法殿全盛宮_三安府_龍鬚岩金水館_聯合廟_5張,329_1
1993年_威靈宮_莆田_長秀威靈東山聯合廟_60張,34
1993年_昭靈廟_慈靈聯合廟_57張,62
1993年_長秀館 _長秀威靈東山聯合廟_60張,33
1993年_鳳山堂_進法殿_全盛宮_六巡三合廟_聯合廟_38張,131
1993年_龍鬚岩金水館_六巡三合廟_聯合廟_8張,329_2
1994年_上帝廟濟公壇_18張,482
1994年_福發宮_59張,157
1994年_龍合山七寨廟_48張,334
1995年_竹雲宮_菜市聯合宮_5張,744
1995年_華報善堂_忠邦聯合宮_28張,229
1996年_九龍宮_蔡厝港聯聖宮_31張,282
1996年_午峰巖_忠義天明廟_聯合廟_35張,739
1996年_吉山廟_紫雲開吉宮_聯合宮_32張,247
1996年_天公壇昭靈宮_裕廊西聯合宮_8張,696
1996年_天聖壇_36張,560
1996年_天雲殿_蔡厝港聯聖宮_11張,565
1996年_天靈道堂_福通聯合廟_5張,553
1996年_廣明堂_忠義天明廟_聯合廟_27張,212
1996年_忠義館_忠義天明廟_聯合廟_36張,737
1996年_忠邦聯合宮_華報善堂_關帝廟_汫水港鬥母宮鳳山寺_裕廊鳳山寺_真空教復本堂_2張（无铭刻）,728
1996年_朝雲宮_紫雲開吉宮_聯合宮_58張,36
1996年_本元虛靈山總道堂_福通聯合廟_50張,22
1996年_汫水港鬥母宮鳳山寺_忠邦聯合宮_51張,728_1
1996年_福通聯合廟_天靈道堂_本元虛靈山總道堂_裕廊鳳山寺_1張,165
1996年_竹林寺_17張,742
1996年_紫雲開吉宮_開福堂_朝雲宮_吉山廟_5張(无铭刻),750
1996年_蔡厝港聯聖宮_三中宮斗母宮_水溝館聖德壇_天雲殿_九龍宮1張（无铭刻）,26
1996年_裕廊西聯合宮_天公壇昭靈宮_西海岸福德祠_裕廊西顯龍宮16張,696_1
1996年_裕廊鳳山寺_福通聯合廟_75張,165_1
1996年_西海岸福德祠_裕廊西聯合宮_8張,612
1996年_開福堂_紫雲開吉宮_聯合宮_20張,294
1996年_關帝廟_忠邦_忠邦聯合宮_56張,728_2
1996年_鳳山壇德惠_64張,129
1997年_晉平寺善蓮山宮_石林晉山聯合宮_14張,270
1997年_檺林宮_石林晉山聯合宮_22張,494
1997年_石林晉山聯合宮_檺林宮_石霧洞_晉平寺善蓮山宮_1張,494_1
1998年_八巃元帥殿_蔡厝港聯合殿_15張,8
1998年_善興壇_蔡厝港聯合殿_45張,480
1998年_橫山廟_30張,225
1998年_蔡厝港油池村聯合廟_順龍宮、龍蓮花山宮、五福廟_2張,27
1998年_關雲殿_蔡厝港聯合殿_21張,205
1998年_順龍廟_12張,518
1998年_齊神宮_蔡厝港聯合殿_15張,426
1999年_三中宮斗母宮_蔡厝港聯聖宮_22張,26_1
1999年_南洋同奉善堂_31張,389
1999年_木山聖母宮_35張,372
1999年_正華慈聖宮_3張,723
1999年_水溝館聖德壇_16張,508
2000年_七福宫 _27張,423
2000年_兀蘭聯聖廟_清水廟東聖殿_武當山兀蘭_天祖廟_17張,603
2000年_天祖廟_18張,566
2000年_慈善壇_玉皇殿聯合宮_1張,63
2000年_慈蓮堂_21張,60
2000年_正龍宮玄江殿_4張,725
2000年_武當山兀蘭_5張,596
2000年_清水廟_27張,445
2000年_玉皇殿聯合宮_玉皇殿_福安廟_慈善壇_22張,692
2000年_覺音講堂_2張,293
2000年_金福宮功德堂_19張,264
2001年_巴耶禮峇聯合廟_5張,9
2002年_水美宫大伯公_福泉寺與水美宫大伯公_聯合宮_19張,511
2003年 萬禮蓮合殿_聯合廟_82張,582
2003年_半港天后宮_崇義廟_半港天后宮_聯合廟_22張,10
2003年_南海飛來觀音寺_2張,380
2003年_天顯廟_6張,562
2003年_崇義廟_崇義廟_半港天后宮_聯合廟_46張,10_1
2005年_樟宜興勝宮_1張,652
2006年_三巴旺天后宫_26張,462
2006年_三巴旺財神廟_51張,459
2006年_華嚴禪寺_40張,236
2006年_金山寺_27張,273
2007年_佛牙寺_16張,146
2007年_蓬莱殿_47張,399
2007年_鳳玄宮_20張,135
2008年_五福廟_蔡厝港油池村聯合廟_11張,599
2008年_佛光山_31張,136
2008年_善蓮堂南海觀音佛祖_33張,478
2008年_海南山天公壇_67張,217
2008年_虞都庵_12張,684
2008年_順龍宮_蔡厝港油池村聯合廟_18張,517
2008年_龍蓮花山宮_蔡厝港油池村聯合廟_5張,338
2009年_普救善堂_9張,408
2011_10_14_慈善壇_原本0張，新增33張照片，24份影片,63_1
2011年_忠義廟_惹蘭加由聯合廟_20張,452
2011年_惹蘭加由聯合廟_盛港西包公廟_忠義廟_龍南殿_烏敏泰佛寺_8張,452_1
2011年_烏敏泰佛寺_惹蘭加由聯合廟_26張,607
2011年_盛港西包公廟_惹蘭加由聯合廟_27張,452_2
2011年_龍南殿_惹蘭加由聯合廟_3張,339
三皇五帝_1張,466
